PID,    Name,                                          Type,             Access,         Device,                                                                    Size,
0x8010, OP_CODE_NODE_DISCOVER_MODE,                    OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_F,                                                              1,
0x8011, OP_CODE_NUM_OF_SUBDEVICES,                     OPCODE_TYPE_1_DI, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8002, OP_CODE_PASSTHROUGH_MODE,                      OPCODE_TYPE_1_DI, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE,                                                            1,
0x00F0, OP_CODE_NODE_LIGHT_INDEX,                      OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8070, OP_CODE_DEVICE_TYPE,                           OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      4,
0x8072, OP_CODE_DEVICE_SKU,                            OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                     12,
0x8090, OP_CODE_MANUFACTURE_DATE,                      OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      7,
0x9F0A, OP_CODE_THERMAL_SHUTDOWN_ACTIVATE_THRESH,      OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9F0C, OP_CODE_THERMAL_SHUTDOWN_DEACTIVATE_THRESH,    OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x860D, OP_CODE_PIXEL_RESOLUTION,                      OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x9F30, OP_CODE_THERMAL_MANAGEMENT_PARAMETERS,         OPCODE_TYPE_2_BS, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          3,
0x8600, OP_CODE_CHANNEL_RESOLUTION,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x8602, OP_CODE_DIMMING_CURVE,                         OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x8604, OP_CODE_FADE_SPEED,                            OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x8610, OP_CODE_STARTUP_VALUES_CH0,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8611, OP_CODE_STARTUP_VALUES_CH1,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8612, OP_CODE_STARTUP_VALUES_CH2,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8613, OP_CODE_STARTUP_VALUES_CH3,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8614, OP_CODE_STARTUP_VALUES_CH4,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8606, OP_CODE_CHROMASYNC_MODE,                       OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9C00, OP_CODE_CHROMASYNC_OPERATING_GAMUT,            OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                         30,
0x9C01, OP_CODE_CHROMASYNC_CHROMASYNC_GAMUT,           OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                         10,
0x9C1E, OP_CODE_TEMPERATURE_COMPENSATION_THRESH,       OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9C40, OP_CODE_CRI_TARGETING_RATIOS,                  OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          5,
0x9C4A, OP_CODE_CRI_TARGETING_STATE,                   OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9C60, OP_CODE_CRI_COEFFICIENTS,                      OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                         31,
0x9F00, OP_CODE_LED_CHANNEL_MAP,                       OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          5,
0x9F02, OP_CODE_LED_CHEMISTRY,                         OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9F04, OP_CODE_SCALE_FACTORS_CH0,                     OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9F05, OP_CODE_SCALE_FACTORS_CH1,                     OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9F06, OP_CODE_SCALE_FACTORS_CH2,                     OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9F07, OP_CODE_SCALE_FACTORS_CH3,                     OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x9F08, OP_CODE_SCALE_FACTORS_CH4,                     OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
